job_title,company,location,job_type,skills,date_posted,job_url
coding bootcampï¹£job guaranteed,metana, worldwide,5d,"no tech background needed, job or 100% money back",2026-01-02T09:06:50+00:00,https://remoteok.comhttps://remoteok.com/remote-jobs/remote-coding-bootcamp-job-guaranteed-metana-1129395
full stack product engineer,jiga,united states,3d,"senior, javascript, react, , , ,",2026-01-04T09:11:39+00:00,https://remoteok.comhttps://remoteok.com/remote-jobs/remote-full-stack-product-engineer-jiga-1129403
senior software engineer,stellar ai,europe,3d,"developer, train",2026-01-04T00:00:08+00:00,https://remoteok.comhttps://remoteok.com/remote-jobs/remote-senior-software-engineer-stellar-ai-1128869
customer support specialist,front, probably worldwide,10m,"salesforce, technical, support, , , ,",2026-01-07T08:00:39+00:00,https://remoteok.comhttps://remoteok.com/remote-jobs/remote-customer-support-specialist-front-1129458
quality assurance engineer manual,elligint health,upgrade to premium to see salary,11m,"testing, test, medical, , ,",2026-01-07T08:00:32+00:00,https://remoteok.comhttps://remoteok.com/remote-jobs/remote-quality-assurance-engineer-manual-elligint-health-1129457
staff software engineer crypto,robinhood,new york,12h,"crypto, software, design, , , , , , , , , , ,",2026-01-06T20:00:21+00:00,https://remoteok.comhttps://remoteok.com/remote-jobs/remote-staff-software-engineer-crypto-robinhood-1129455
junior software developer full stack,koho, probably worldwide,16h,"developer, software, design, , , , , , , , , , , , , , , , , , , , , ,",2026-01-06T16:01:07+00:00,https://remoteok.comhttps://remoteok.com/remote-jobs/remote-junior-software-developer-full-stack-koho-1129454
senior hubspot developer,softermii,upgrade to premium to see salary,16h,"developer, 3d, software, , , , ,",2026-01-06T16:01:01+00:00,https://remoteok.comhttps://remoteok.com/remote-jobs/remote-senior-hubspot-developer-softermii-1129453
owner it support engineer,owner,upgrade to premium to see salary,16h,"support, engineer",2026-01-06T16:00:34+00:00,https://remoteok.comhttps://remoteok.com/remote-jobs/remote-owner-it-support-engineer-owner-1129452
customer success manager,federato,upgrade to premium to see salary,16h,manager,2026-01-06T16:00:27+00:00,https://remoteok.comhttps://remoteok.com/remote-jobs/remote-customer-success-manager-federato-1129451
senior product designer ticketing,playon,upgrade to premium to see salary,18h,"design, system, teach, , , , , , , , , , , , , , ,",2026-01-06T14:00:01+00:00,https://remoteok.comhttps://remoteok.com/remote-jobs/remote-senior-product-designer-ticketing-playon-1129450
assistant manager social media,interview kickstart,upgrade to premium to see salary,20h,"manager, assistant, system, , , , , , ,",2026-01-06T12:00:43+00:00,https://remoteok.comhttps://remoteok.com/remote-jobs/remote-assistant-manager-social-media-interview-kickstart-1129449
customer support agent,clerk chat,upgrade to premium to see salary,20h,"support, telecom, non tech",2026-01-06T12:00:17+00:00,https://remoteok.comhttps://remoteok.com/remote-jobs/remote-customer-support-agent-clerk-chat-1129448
content and communications lead,recidiviz,upgrade to premium to see salary,1d,"support, software, lead, ,",2026-01-06T08:00:40+00:00,https://remoteok.comhttps://remoteok.com/remote-jobs/remote-content-and-communications-lead-recidiviz-1129447
